,Unnamed: 0,trip_id,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
32,32,5655070,183316207,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,4:47:00,3,FIFTH AVE + MCPHERSON FS,8308,5:43:00,40,27.66050058,3,PGH AIRPORT UPPER LEVEL (DEPARTURES),22827,1/1/2023 4:47,1/1/2023 5:43,0 days 00:56:00,56.0,0.933333333
33,33,12934070,183316207,28X,INBOUND-DOWNTOWN,6:00:00,3,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),4405,7:00:00,41,27.53078281,3,EAST LIBERTY DRWY + FIFTH FS,16029,1/1/2023 6:00,1/1/2023 7:00,0 days 01:00:00,60.0,1.0
34,34,7906070,183316207,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,7:17:00,3,FIFTH AVE + MCPHERSON FS,8308,8:13:00,40,27.66050058,3,PGH AIRPORT UPPER LEVEL (DEPARTURES),22827,1/1/2023 7:17,1/1/2023 8:13,0 days 00:56:00,56.0,0.933333333
35,35,11671070,183316207,28X,INBOUND-DOWNTOWN,8:30:00,3,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),4405,9:30:00,41,27.53078281,3,EAST LIBERTY DRWY + FIFTH FS,16029,1/1/2023 8:30,1/1/2023 9:30,0 days 01:00:00,60.0,1.0
54,54,2504070,183316807,P1,INBOUND-DOWNTOWN,6:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,6:23:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 6:03,1/1/2023 6:23,0 days 00:20:00,20.0,0.333333333
55,55,6839070,183316807,P1,OUTBOUND-SWISSVALE,6:23:00,3,LIBERTY AVE + 10TH ST NS,7279,6:45:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 6:23,1/1/2023 6:45,0 days 00:22:00,22.0,0.366666667
56,56,7800070,183316807,P1,INBOUND-DOWNTOWN,7:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,7:23:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 7:03,1/1/2023 7:23,0 days 00:20:00,20.0,0.333333333
57,57,3547070,183316807,P1,OUTBOUND-SWISSVALE,7:23:00,3,LIBERTY AVE + 10TH ST NS,7279,7:45:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 7:23,1/1/2023 7:45,0 days 00:22:00,22.0,0.366666667
58,58,5975070,183316807,P1,INBOUND-DOWNTOWN,8:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,8:23:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 8:03,1/1/2023 8:23,0 days 00:20:00,20.0,0.333333333
59,59,669070,183316807,P1,OUTBOUND-SWISSVALE,8:23:00,3,LIBERTY AVE + 10TH ST NS,7279,8:45:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 8:23,1/1/2023 8:45,0 days 00:22:00,22.0,0.366666667
60,60,5213070,183316807,P1,INBOUND-DOWNTOWN,9:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,9:23:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 9:03,1/1/2023 9:23,0 days 00:20:00,20.0,0.333333333
61,61,2469070,183316807,P1,OUTBOUND-SWISSVALE,9:23:00,3,LIBERTY AVE + 10TH ST NS,7279,9:45:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 9:23,1/1/2023 9:45,0 days 00:22:00,22.0,0.366666667
62,62,1966070,183316807,P1,INBOUND-DOWNTOWN,10:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,10:23:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 10:03,1/1/2023 10:23,0 days 00:20:00,20.0,0.333333333
63,63,9494070,183316807,P1,OUTBOUND-SWISSVALE,10:23:00,3,LIBERTY AVE + 10TH ST NS,7279,10:47:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 10:23,1/1/2023 10:47,0 days 00:24:00,24.0,0.4
64,64,4054070,183316807,P1,INBOUND-DOWNTOWN,11:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,11:23:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 11:03,1/1/2023 11:23,0 days 00:20:00,20.0,0.333333333
65,65,7252070,183316807,P1,OUTBOUND-SWISSVALE,11:23:00,3,LIBERTY AVE + 10TH ST NS,7279,11:47:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 11:23,1/1/2023 11:47,0 days 00:24:00,24.0,0.4
66,66,11729070,183316807,P1,INBOUND-DOWNTOWN,12:08:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,12:28:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 12:08,1/1/2023 12:28,0 days 00:20:00,20.0,0.333333333
67,67,11806070,183316807,P1,OUTBOUND-SWISSVALE,12:28:00,3,LIBERTY AVE + 10TH ST NS,7279,12:52:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 12:28,1/1/2023 12:52,0 days 00:24:00,24.0,0.4
68,68,7521070,183316807,P1,INBOUND-DOWNTOWN,13:08:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,13:28:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 13:08,1/1/2023 13:28,0 days 00:20:00,20.0,0.333333333
69,69,13882070,183316807,P1,OUTBOUND-SWISSVALE,13:28:00,3,LIBERTY AVE + 10TH ST NS,7279,13:54:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 13:28,1/1/2023 13:54,0 days 00:26:00,26.0,0.433333333
70,70,4206070,183316807,P1,INBOUND-DOWNTOWN,14:08:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,14:28:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 14:08,1/1/2023 14:28,0 days 00:20:00,20.0,0.333333333
71,71,3135070,183316807,P1,OUTBOUND-SWISSVALE,14:28:00,3,LIBERTY AVE + 10TH ST NS,7279,14:54:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 14:28,1/1/2023 14:54,0 days 00:26:00,26.0,0.433333333
72,72,4665070,183316807,P1,INBOUND-DOWNTOWN,15:08:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,15:28:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 15:08,1/1/2023 15:28,0 days 00:20:00,20.0,0.333333333
73,73,8750070,183316807,P1,OUTBOUND-SWISSVALE,15:28:00,3,LIBERTY AVE + 10TH ST NS,7279,15:54:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 15:28,1/1/2023 15:54,0 days 00:26:00,26.0,0.433333333
74,74,12976070,183316807,P1,INBOUND-DOWNTOWN,16:07:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,16:28:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 16:07,1/1/2023 16:28,0 days 00:21:00,21.0,0.35
75,75,2831070,183316807,P1,OUTBOUND-SWISSVALE,16:28:00,3,LIBERTY AVE + 10TH ST NS,7279,16:54:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 16:28,1/1/2023 16:54,0 days 00:26:00,26.0,0.433333333
76,76,12821070,183316807,P1,INBOUND-DOWNTOWN,17:07:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,17:28:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 17:07,1/1/2023 17:28,0 days 00:21:00,21.0,0.35
77,77,3982070,183316807,P1,OUTBOUND-SWISSVALE,17:28:00,3,LIBERTY AVE + 10TH ST NS,7279,17:54:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 17:28,1/1/2023 17:54,0 days 00:26:00,26.0,0.433333333
78,78,8618070,183316807,P1,INBOUND-DOWNTOWN,18:17:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,18:38:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 18:17,1/1/2023 18:38,0 days 00:21:00,21.0,0.35
79,79,14114070,183316807,P1,OUTBOUND-SWISSVALE,18:38:00,3,LIBERTY AVE + 10TH ST NS,7279,19:04:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 18:38,1/1/2023 19:04,0 days 00:26:00,26.0,0.433333333
80,80,7686070,183316807,P1,INBOUND-DOWNTOWN,19:17:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,19:38:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 19:17,1/1/2023 19:38,0 days 00:21:00,21.0,0.35
81,81,12705070,183316807,P1,OUTBOUND-SWISSVALE,19:38:00,3,LIBERTY AVE + 10TH ST NS,7279,20:04:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 19:38,1/1/2023 20:04,0 days 00:26:00,26.0,0.433333333
82,82,13523070,183316907,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,3:47:00,3,FIFTH AVE + MCPHERSON FS,8308,4:43:00,40,27.66050058,3,PGH AIRPORT UPPER LEVEL (DEPARTURES),22827,1/1/2023 3:47,1/1/2023 4:43,0 days 00:56:00,56.0,0.933333333
83,83,2147070,183316907,28X,INBOUND-DOWNTOWN,5:00:00,3,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),4405,5:58:00,41,27.53078281,3,EAST LIBERTY DRWY + FIFTH FS,16029,1/1/2023 5:00,1/1/2023 5:58,0 days 00:58:00,58.0,0.966666667
84,84,11698070,183316907,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,6:17:00,3,FIFTH AVE + MCPHERSON FS,8308,7:13:00,40,27.66050058,3,PGH AIRPORT UPPER LEVEL (DEPARTURES),22827,1/1/2023 6:17,1/1/2023 7:13,0 days 00:56:00,56.0,0.933333333
85,85,4280070,183316907,28X,INBOUND-DOWNTOWN,7:30:00,3,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),4405,8:30:00,41,27.53078281,3,EAST LIBERTY DRWY + FIFTH FS,16029,1/1/2023 7:30,1/1/2023 8:30,0 days 01:00:00,60.0,1.0
86,86,12167070,183317007,P1,INBOUND-DOWNTOWN,11:53:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,12:13:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 11:53,1/1/2023 12:13,0 days 00:20:00,20.0,0.333333333
87,87,6394070,183317007,P1,OUTBOUND-SWISSVALE,12:13:00,3,LIBERTY AVE + 10TH ST NS,7279,12:37:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 12:13,1/1/2023 12:37,0 days 00:24:00,24.0,0.4
88,88,6793070,183317007,P1,INBOUND-DOWNTOWN,12:53:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,13:13:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 12:53,1/1/2023 13:13,0 days 00:20:00,20.0,0.333333333
89,89,1602070,183317007,P1,OUTBOUND-SWISSVALE,13:13:00,3,LIBERTY AVE + 10TH ST NS,7279,13:39:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 13:13,1/1/2023 13:39,0 days 00:26:00,26.0,0.433333333
90,90,1324070,183317007,P1,INBOUND-DOWNTOWN,13:53:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,14:13:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 13:53,1/1/2023 14:13,0 days 00:20:00,20.0,0.333333333
91,91,1485070,183317007,P1,OUTBOUND-SWISSVALE,14:13:00,3,LIBERTY AVE + 10TH ST NS,7279,14:39:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 14:13,1/1/2023 14:39,0 days 00:26:00,26.0,0.433333333
92,92,1725070,183317007,P1,INBOUND-DOWNTOWN,14:53:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,15:13:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 14:53,1/1/2023 15:13,0 days 00:20:00,20.0,0.333333333
93,93,13290070,183317007,P1,OUTBOUND-SWISSVALE,15:13:00,3,LIBERTY AVE + 10TH ST NS,7279,15:39:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 15:13,1/1/2023 15:39,0 days 00:26:00,26.0,0.433333333
94,94,5299070,183317007,P1,INBOUND-DOWNTOWN,15:52:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,16:13:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 15:52,1/1/2023 16:13,0 days 00:21:00,21.0,0.35
95,95,6341070,183317007,P1,OUTBOUND-SWISSVALE,16:13:00,3,LIBERTY AVE + 10TH ST NS,7279,16:39:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 16:13,1/1/2023 16:39,0 days 00:26:00,26.0,0.433333333
96,96,2156070,183317007,P1,INBOUND-DOWNTOWN,16:52:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,17:13:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 16:52,1/1/2023 17:13,0 days 00:21:00,21.0,0.35
97,97,13908070,183317007,P1,OUTBOUND-SWISSVALE,17:13:00,3,LIBERTY AVE + 10TH ST NS,7279,17:39:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 17:13,1/1/2023 17:39,0 days 00:26:00,26.0,0.433333333
98,98,4872070,183317007,P1,INBOUND-DOWNTOWN,17:57:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,18:18:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 17:57,1/1/2023 18:18,0 days 00:21:00,21.0,0.35
99,99,9999070,183317007,P1,OUTBOUND-SWISSVALE,18:18:00,3,LIBERTY AVE + 10TH ST NS,7279,18:44:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 18:18,1/1/2023 18:44,0 days 00:26:00,26.0,0.433333333
100,100,10113070,183317007,P1,INBOUND-DOWNTOWN,18:57:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,19:18:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 18:57,1/1/2023 19:18,0 days 00:21:00,21.0,0.35
101,101,1088070,183317007,P1,OUTBOUND-SWISSVALE,19:18:00,3,LIBERTY AVE + 10TH ST NS,7279,19:44:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 19:18,1/1/2023 19:44,0 days 00:26:00,26.0,0.433333333
102,102,1377070,183317007,P1,INBOUND-DOWNTOWN,20:12:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,20:33:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 20:12,1/1/2023 20:33,0 days 00:21:00,21.0,0.35
103,103,4465070,183317007,P1,OUTBOUND-SWISSVALE,20:33:00,3,LIBERTY AVE + 10TH ST NS,7279,20:59:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 20:33,1/1/2023 20:59,0 days 00:26:00,26.0,0.433333333
104,104,7563070,183317007,P1,INBOUND-DOWNTOWN,21:12:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,21:33:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 21:12,1/1/2023 21:33,0 days 00:21:00,21.0,0.35
105,105,11833070,183317007,P1,OUTBOUND-SWISSVALE,21:33:00,3,LIBERTY AVE + 10TH ST NS,7279,21:59:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 21:33,1/1/2023 21:59,0 days 00:26:00,26.0,0.433333333
106,106,3264070,183317007,P1,INBOUND-DOWNTOWN,22:14:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,22:33:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 22:14,1/1/2023 22:33,0 days 00:19:00,19.0,0.316666667
107,107,5981070,183317007,P1,OUTBOUND-SWISSVALE,22:33:00,3,LIBERTY AVE + 10TH ST NS,7279,22:58:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 22:33,1/1/2023 22:58,0 days 00:25:00,25.0,0.416666667
108,108,13502070,183317007,P1,INBOUND-DOWNTOWN,23:14:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,23:33:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 23:14,1/1/2023 23:33,0 days 00:19:00,19.0,0.316666667
109,109,4537070,183317007,P1,OUTBOUND-SWISSVALE,23:33:00,3,LIBERTY AVE + 10TH ST NS,7279,23:58:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 23:33,1/1/2023 23:58,0 days 00:25:00,25.0,0.416666667
110,110,12806070,183317007,P1,INBOUND-DOWNTOWN,24:14:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,24:33:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/2/2023 0:14,1/2/2023 0:33,0 days 00:19:00,19.0,0.316666667
111,111,2695070,183317007,P1,OUTBOUND-SWISSVALE,24:33:00,3,LIBERTY AVE + 10TH ST NS,7279,24:58:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/2/2023 0:33,1/2/2023 0:58,0 days 00:25:00,25.0,0.416666667
118,118,996070,183317207,P1,INBOUND-DOWNTOWN,6:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,6:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 6:23,1/1/2023 6:43,0 days 00:20:00,20.0,0.333333333
119,119,10615070,183317207,P1,OUTBOUND-SWISSVALE,6:43:00,3,LIBERTY AVE + 10TH ST NS,7279,7:05:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 6:43,1/1/2023 7:05,0 days 00:22:00,22.0,0.366666667
120,120,12786070,183317207,P1,INBOUND-DOWNTOWN,7:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,7:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 7:23,1/1/2023 7:43,0 days 00:20:00,20.0,0.333333333
121,121,5740070,183317207,P1,OUTBOUND-SWISSVALE,7:43:00,3,LIBERTY AVE + 10TH ST NS,7279,8:05:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 7:43,1/1/2023 8:05,0 days 00:22:00,22.0,0.366666667
122,122,5220070,183317207,P1,INBOUND-DOWNTOWN,8:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,8:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 8:23,1/1/2023 8:43,0 days 00:20:00,20.0,0.333333333
123,123,2048070,183317207,P1,OUTBOUND-SWISSVALE,8:43:00,3,LIBERTY AVE + 10TH ST NS,7279,9:05:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 8:43,1/1/2023 9:05,0 days 00:22:00,22.0,0.366666667
124,124,8728070,183317207,P1,INBOUND-DOWNTOWN,9:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,9:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 9:23,1/1/2023 9:43,0 days 00:20:00,20.0,0.333333333
125,125,11608070,183317207,P1,OUTBOUND-SWISSVALE,9:43:00,3,LIBERTY AVE + 10TH ST NS,7279,10:05:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 9:43,1/1/2023 10:05,0 days 00:22:00,22.0,0.366666667
126,126,6359070,183317207,P1,INBOUND-DOWNTOWN,10:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,10:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 10:23,1/1/2023 10:43,0 days 00:20:00,20.0,0.333333333
127,127,1374070,183317207,P1,OUTBOUND-SWISSVALE,10:43:00,3,LIBERTY AVE + 10TH ST NS,7279,11:07:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 10:43,1/1/2023 11:07,0 days 00:24:00,24.0,0.4
128,128,2313070,183317207,P1,INBOUND-DOWNTOWN,11:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,11:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 11:23,1/1/2023 11:43,0 days 00:20:00,20.0,0.333333333
129,129,3080070,183317207,P1,OUTBOUND-SWISSVALE,11:43:00,3,LIBERTY AVE + 10TH ST NS,7279,12:07:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 11:43,1/1/2023 12:07,0 days 00:24:00,24.0,0.4
130,130,13411070,183317207,P1,INBOUND-DOWNTOWN,12:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,12:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 12:23,1/1/2023 12:43,0 days 00:20:00,20.0,0.333333333
131,131,1775070,183317207,P1,OUTBOUND-SWISSVALE,12:43:00,3,LIBERTY AVE + 10TH ST NS,7279,13:07:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 12:43,1/1/2023 13:07,0 days 00:24:00,24.0,0.4
132,132,6279070,183317207,P1,INBOUND-DOWNTOWN,13:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,13:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 13:23,1/1/2023 13:43,0 days 00:20:00,20.0,0.333333333
133,133,13029070,183317207,P1,OUTBOUND-SWISSVALE,13:43:00,3,LIBERTY AVE + 10TH ST NS,7279,14:09:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 13:43,1/1/2023 14:09,0 days 00:26:00,26.0,0.433333333
134,134,7339070,183317207,P1,INBOUND-DOWNTOWN,14:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,14:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 14:23,1/1/2023 14:43,0 days 00:20:00,20.0,0.333333333
135,135,6121070,183317207,P1,OUTBOUND-SWISSVALE,14:43:00,3,LIBERTY AVE + 10TH ST NS,7279,15:09:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 14:43,1/1/2023 15:09,0 days 00:26:00,26.0,0.433333333
136,136,1368070,183317207,P1,INBOUND-DOWNTOWN,15:23:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,15:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 15:23,1/1/2023 15:43,0 days 00:20:00,20.0,0.333333333
137,137,8383070,183317207,P1,OUTBOUND-SWISSVALE,15:43:00,3,LIBERTY AVE + 10TH ST NS,7279,16:09:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 15:43,1/1/2023 16:09,0 days 00:26:00,26.0,0.433333333
138,138,2553070,183317207,P1,INBOUND-DOWNTOWN,16:22:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,16:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 16:22,1/1/2023 16:43,0 days 00:21:00,21.0,0.35
139,139,6029070,183317207,P1,OUTBOUND-SWISSVALE,16:43:00,3,LIBERTY AVE + 10TH ST NS,7279,17:09:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 16:43,1/1/2023 17:09,0 days 00:26:00,26.0,0.433333333
140,140,379070,183317207,P1,INBOUND-DOWNTOWN,17:22:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,17:43:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 17:22,1/1/2023 17:43,0 days 00:21:00,21.0,0.35
141,141,8226070,183317207,P1,OUTBOUND-SWISSVALE,17:43:00,3,LIBERTY AVE + 10TH ST NS,7279,18:09:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 17:43,1/1/2023 18:09,0 days 00:26:00,26.0,0.433333333
142,142,5379070,183317307,P1,INBOUND-DOWNTOWN,5:43:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,6:03:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 5:43,1/1/2023 6:03,0 days 00:20:00,20.0,0.333333333
143,143,13501070,183317307,P1,OUTBOUND-SWISSVALE,6:03:00,3,LIBERTY AVE + 10TH ST NS,7279,6:25:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 6:03,1/1/2023 6:25,0 days 00:22:00,22.0,0.366666667
144,144,4242070,183317307,P1,INBOUND-DOWNTOWN,6:43:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,7:03:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 6:43,1/1/2023 7:03,0 days 00:20:00,20.0,0.333333333
145,145,7482070,183317307,P1,OUTBOUND-SWISSVALE,7:03:00,3,LIBERTY AVE + 10TH ST NS,7279,7:25:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 7:03,1/1/2023 7:25,0 days 00:22:00,22.0,0.366666667
146,146,1745070,183317307,P1,INBOUND-DOWNTOWN,7:43:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,8:03:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 7:43,1/1/2023 8:03,0 days 00:20:00,20.0,0.333333333
147,147,10866070,183317307,P1,OUTBOUND-SWISSVALE,8:03:00,3,LIBERTY AVE + 10TH ST NS,7279,8:25:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 8:03,1/1/2023 8:25,0 days 00:22:00,22.0,0.366666667
148,148,5909070,183317307,P1,INBOUND-DOWNTOWN,8:43:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,9:03:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 8:43,1/1/2023 9:03,0 days 00:20:00,20.0,0.333333333
149,149,6665070,183317307,P1,OUTBOUND-SWISSVALE,9:03:00,3,LIBERTY AVE + 10TH ST NS,7279,9:25:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 9:03,1/1/2023 9:25,0 days 00:22:00,22.0,0.366666667
150,150,5241070,183317307,P1,INBOUND-DOWNTOWN,9:43:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,10:03:00,11,8.988131781,3,LIBERTY AVE + 10TH ST NS,7279,1/1/2023 9:43,1/1/2023 10:03,0 days 00:20:00,20.0,0.333333333
151,151,2268070,183317307,P1,OUTBOUND-SWISSVALE,10:03:00,3,LIBERTY AVE + 10TH ST NS,7279,10:27:00,14,9.600320628,3,EAST BUSWASY + SWISSVALE STATION A,16063,1/1/2023 10:03,1/1/2023 10:27,0 days 00:24:00,24.0,0.4
